,COUNTY,YEAR,MEDIAN_AGE_TOT,OVER_65
503,Richland Louisiana,12,39.5,9.88010635125733
515,Sabine Louisiana,12,41.9,9.818116730865851
527,St. Bernard Louisiana,12,35.1,9.828615273897213
539,St. Charles Louisiana,12,38.4,9.857935969868175
551,St. Helena Louisiana,12,41.7,9.941344255823134
563,St. James Louisiana,12,39.5,9.8744548729617
575,St. John the Baptist Louisiana,12,37.8,9.845689474052804
587,St. Landry Louisiana,12,37.2,9.731469485168768
599,St. Martin Louisiana,12,38.3,9.856493421422021
611,St. Mary Louisiana,12,39.7,9.810563751317176
623,St. Tammany Louisiana,12,40.5,9.832487260914142
635,Tangipahoa Louisiana,12,35.9,9.886328826488965
647,Tensas Louisiana,12,47.4,9.761744347023535
659,Terrebonne Louisiana,12,37.1,9.82849240908556
671,Union Louisiana,12,43.3,9.873226886195042
683,Vermilion Louisiana,12,38.3,9.803940447984408
695,Vernon Louisiana,12,31.1,9.996734065656034
707,Washington Louisiana,12,39.8,9.829627224314846
719,Webster Louisiana,12,41.3,9.858197704747
731,West Baton Rouge Louisiana,12,36.8,9.888637823540524
743,West Carroll Louisiana,12,40.8,9.894810710987997
755,West Feliciana Louisiana,12,42.7,10.184782887975334
767,Winn Louisiana,12,41.2,9.977071346375144
11,Androscoggin Maine,12,41.1,9.912826362015942
23,Aroostook Maine,12,48.6,9.936747446126313
35,Cumberland Maine,12,42.3,10.074861272597227
47,Franklin Maine,12,46.5,10.014255438921818
59,Hancock Maine,12,49.1,9.985325622419845
71,Kennebec Maine,12,44.6,9.978827819659532
83,Knox Maine,12,48.8,9.9651714774213
95,Lincoln Maine,12,51.0,9.94840330311255
107,Oxford Maine,12,48.0,9.960569210866753
119,Penobscot Maine,12,42.3,10.090782001735153
131,Piscataquis Maine,12,51.8,9.94660708966339
143,Sagadahoc Maine,12,46.7,9.943069500223116
155,Somerset Maine,12,46.7,9.955801838206165
167,Waldo Maine,12,47.0,9.969809895505476
179,Washington Maine,12,48.6,9.904923675069313
191,York Maine,12,45.4,9.998167028669675
11,Allegany Maryland,12,41.4,10.1451857532379
23,Anne Arundel Maryland,12,38.5,9.9555352413705
35,Baltimore Maryland,12,39.6,9.949702793188052
47,Calvert Maryland,12,40.6,9.867350445825453
59,Caroline Maryland,12,40.0,9.832425312818057
71,Carroll Maryland,12,42.1,9.905252690757331
83,Cecil Maryland,12,40.8,9.887480433620146
95,Charles Maryland,12,38.5,9.880216468512836
107,Dorchester Maryland,12,44.7,9.867164646559555
119,Frederick Maryland,12,39.1,9.901108855043596
131,Garrett Maryland,12,47.2,9.968608258082305
143,Harford Maryland,12,40.5,9.910634941141007
155,Howard Maryland,12,39.0,9.865814117719303
167,Kent Maryland,12,48.8,10.093440428380188
179,Montgomery Maryland,12,39.7,9.88998989233721
191,Prince George's Maryland,12,37.8,9.976116182627372
203,Queen Anne's Maryland,12,44.9,9.859687183660508
215,St. Mary's Maryland,12,36.9,9.902360144480662
227,Somerset Maryland,12,37.7,10.244679106808245
239,Talbot Maryland,12,51.1,9.882119899948899
251,Washington Maryland,12,40.6,9.93149640182987
263,Wicomico Maryland,12,36.1,10.006988775106409
275,Worcester Maryland,12,50.7,9.95314675950723
11,Barnstable Massachusetts,12,54.3,9.995926099816892
23,Berkshire Massachusetts,12,47.6,10.055637725701114
35,Bristol Massachusetts,12,41.1,9.985971936442109
47,Dukes Massachusetts,12,48.5,9.953525271174705
59,Essex Massachusetts,12,40.9,9.955326259704906
71,Franklin Massachusetts,12,47.2,10.031308064975775
83,Hampden Massachusetts,12,39.1,9.982557057456278
95,Hampshire Massachusetts,12,36.8,10.393712615805509
107,Middlesex Massachusetts,12,38.6,10.10466383611332
119,Nantucket Massachusetts,12,40.3,9.990376348802528
131,Norfolk Massachusetts,12,40.8,9.98770018747126
143,Plymouth Massachusetts,12,42.9,9.910731156058496
155,Suffolk Massachusetts,12,33.3,10.432738239622244
167,Worcester Massachusetts,12,40.2,9.990402613944731
11,Alcona Michigan,12,58.7,9.980461316674676
23,Alger Michigan,12,49.8,10.102744839701362
35,Allegan Michigan,12,40.2,9.819532354908919
47,Alpena Michigan,12,47.7,9.934015138179898
59,Antrim Michigan,12,52.1,9.910139770193792
71,Arenac Michigan,12,50.3,9.918181818181818
83,Baraga Michigan,12,45.9,10.0708856133512
95,Barry Michigan,12,42.6,9.870716490658001
107,Bay Michigan,12,43.8,9.95504334503423
119,Benzie Michigan,12,50.3,9.935849375211077
131,Berrien Michigan,12,42.4,9.885622649135271
143,Branch Michigan,12,41.1,9.842891283866075
155,Calhoun Michigan,12,40.0,9.886135108341595
167,Cass Michigan,12,45.2,9.88636530403383
179,Charlevoix Michigan,12,49.2,9.930887809356234
191,Cheboygan Michigan,12,51.8,9.975858521918024
203,Chippewa Michigan,12,40.5,10.144381375672708
215,Clare Michigan,12,47.6,9.863508885298868
227,Clinton Michigan,12,40.9,9.912819900747534
239,Crawford Michigan,12,50.9,9.895281203221897
251,Delta Michigan,12,47.9,9.890171585065952
263,Dickinson Michigan,12,46.6,9.889242838464282
275,Eaton Michigan,12,41.3,9.974401458265318
287,Emmet Michigan,12,46.3,9.970561125243155
299,Genesee Michigan,12,40.8,9.89124251810563
311,Gladwin Michigan,12,50.6,9.868937875751504
323,Gogebic Michigan,12,51.8,9.943599284436493
335,Grand Traverse Michigan,12,43.3,9.960159204193882
347,Gratiot Michigan,12,39.7,10.091515806538773
359,Hillsdale Michigan,12,42.9,9.885558601030588
371,Houghton Michigan,12,33.1,10.123559578522586
383,Huron Michigan,12,49.4,9.870804686743488
395,Ingham Michigan,12,32.6,10.216071489641116
407,Ionia Michigan,12,38.8,9.97030465091117
419,Iosco Michigan,12,53.5,9.917678194770566
431,Iron Michigan,12,54.7,9.891622989336707
443,Isabella Michigan,12,29.5,10.37977301351042
455,Jackson Michigan,12,41.2,9.933967573023784
467,Kalamazoo Michigan,12,34.7,10.074369025073002
479,Kalkaska Michigan,12,44.4,9.904889677347821
491,Kent Michigan,12,35.6,9.937301032795244
503,Keweenaw Michigan,12,58.7,9.956852551984877
515,Lake Michigan,12,54.3,9.878874546528305
527,Lapeer Michigan,12,44.8,9.927161071603868
539,Leelanau Michigan,12,55.0,9.942328018013878
551,Lenawee Michigan,12,42.0,9.95035093599862
563,Livingston Michigan,12,43.7,9.917465038152034
575,Luce Michigan,12,44.6,10.142976400706374
587,Mackinac Michigan,12,52.2,9.991128808222983
599,Macomb Michigan,12,41.2,9.967636491786921
611,Manistee Michigan,12,49.7,9.986713087384967
623,Marquette Michigan,12,39.4,10.154176224531103
635,Mason Michigan,12,46.9,9.86717334614329
647,Mecosta Michigan,12,37.4,10.148284353209215
659,Menominee Michigan,12,49.7,9.961180860403864
671,Midland Michigan,12,41.6,9.93592284381163
683,Missaukee Michigan,12,43.2,9.792379944437096
695,Monroe Michigan,12,43.0,9.915302325581395
707,Montcalm Michigan,12,41.2,9.899248685199098
719,Montmorency Michigan,12,56.8,9.936835334476845
731,Muskegon Michigan,12,39.7,9.884180657502045
743,Newaygo Michigan,12,43.0,9.833870967741936
755,Oakland Michigan,12,41.2,9.97977009885622
767,Oceana Michigan,12,43.7,9.818252918728984
779,Ogemaw Michigan,12,50.4,9.891813116159451
791,Ontonagon Michigan,12,59.2,9.953356643356642
803,Osceola Michigan,12,44.1,9.833934356351236
815,Oscoda Michigan,12,52.6,9.81295959228249
827,Otsego Michigan,12,44.8,9.88611966920707
839,Ottawa Michigan,12,35.7,9.933960524963164
851,Presque Isle Michigan,12,56.0,9.930273189326556
863,Roscommon Michigan,12,56.8,9.927007785503143
875,Saginaw Michigan,12,41.1,9.9253228997738
887,St. Clair Michigan,12,44.4,9.91555477351566
899,St. Joseph Michigan,12,39.9,9.801979856964767
911,Sanilac Michigan,12,45.3,9.844481418508623
923,Schoolcraft Michigan,12,52.3,9.892797133679268
935,Shiawassee Michigan,12,43.0,9.932929156513314
947,Tuscola Michigan,12,45.1,9.91522825150732
959,Van Buren Michigan,12,41.7,9.82049631988583
971,Washtenaw Michigan,12,34.1,10.258291190720374
983,Wayne Michigan,12,37.9,9.884047839674665
995,Wexford Michigan,12,41.9,9.812848264993608
11,Aitkin Minnesota,12,56.4,9.869218179529145
35,Becker Minnesota,12,42.0,9.752491067019145
47,Beltrami Minnesota,12,34.5,9.85463465287785
59,Benton Minnesota,12,36.4,9.844271075350338
71,Big Stone Minnesota,12,48.6,9.769705469845722
83,Blue Earth Minnesota,12,31.3,10.230548534433064
95,Brown Minnesota,12,41.7,9.879546545105567
107,Carlton Minnesota,12,41.1,9.894876083744528
119,Carver Minnesota,12,38.4,9.767686437210365
131,Cass Minnesota,12,49.5,9.785671110514121
143,Chippewa Minnesota,12,40.8,9.758033898305085
155,Chisago Minnesota,12,40.7,9.87699853302462
167,Clay Minnesota,12,33.1,9.953833577278814
179,Clearwater Minnesota,12,42.3,9.7167498298934
191,Cook Minnesota,12,52.9,10.004191835987553
203,Cottonwood Minnesota,12,42.5,9.71297784923187
215,Crow Wing Minnesota,12,44.6,9.854809007762663
239,Dodge Minnesota,12,38.6,9.800926722078914
251,Douglas Minnesota,12,44.1,9.848197477779816
263,Faribault Minnesota,12,44.7,9.824412217095144
275,Fillmore Minnesota,12,42.2,9.713969715669057
287,Freeborn Minnesota,12,44.0,9.839173078828308
299,Goodhue Minnesota,12,43.0,9.850776866637894
311,Grant Minnesota,12,44.6,9.784762223710649
335,Houston Minnesota,12,45.1,9.813930107526883
347,Hubbard Minnesota,12,48.1,9.77507328649202
359,Isanti Minnesota,12,39.7,9.846184353138241
371,Itasca Minnesota,12,46.7,9.848054509195658
383,Jackson Minnesota,12,44.9,9.851198456225879
395,Kanabec Minnesota,12,44.9,9.8510681275632
407,Kandiyohi Minnesota,12,39.4,9.778916178615246
419,Kittson Minnesota,12,47.6,9.760725919032108
431,Koochiching Minnesota,12,50.8,9.93252105650503
443,Lac qui Parle Minnesota,12,49.8,9.805495998792088
455,Lake Minnesota,12,49.7,9.871600413494972
467,Lake of the Woods Minnesota,12,50.8,9.891657754010696
479,Le Sueur Minnesota,12,41.0,9.808599023782325
491,Lincoln Minnesota,12,45.0,9.73381805284625
503,Lyon Minnesota,12,36.7,9.795426709586245
515,McLeod Minnesota,12,41.4,9.858395787479454
527,Mahnomen Minnesota,12,35.2,9.451999276280079
539,Marshall Minnesota,12,43.4,9.78742502142245
551,Martin Minnesota,12,45.4,9.802235431590713
563,Meeker Minnesota,12,42.3,9.7629101713892
575,Mille Lacs Minnesota,12,41.0,9.80146135403585
587,Morrison Minnesota,12,42.1,9.797582819145749
599,Mower Minnesota,12,38.8,9.782057810393889
611,Murray Minnesota,12,47.1,9.806089821820846
623,Nicollet Minnesota,12,37.2,10.007679290424228
635,Nobles Minnesota,12,36.5,9.677030838226456
647,Norman Minnesota,12,43.3,9.745458823529413
659,Olmsted Minnesota,12,37.3,9.867216490937691
671,Otter Tail Minnesota,12,46.5,9.78978143192728
683,Pennington Minnesota,12,39.8,9.875614420284721
695,Pine Minnesota,12,45.7,9.950968592582576
707,Pipestone Minnesota,12,40.8,9.663028709182555
719,Polk Minnesota,12,38.9,9.793549929855887
731,Pope Minnesota,12,46.1,9.838038936794382
743,Ramsey Minnesota,12,35.3,9.968925954124956
755,Red Lake Minnesota,12,42.8,9.747176325524045
767,Redwood Minnesota,12,41.5,9.72574159525379
779,Renville Minnesota,12,43.2,9.771872422326094
791,Rice Minnesota,12,36.9,10.01372065938004
803,Rock Minnesota,12,41.3,9.747214170692432
815,Roseau Minnesota,12,42.1,9.766046818331684
827,St. Louis Minnesota,12,40.9,10.06302757823881
839,Scott Minnesota,12,37.1,9.767155214645703
851,Sherburne Minnesota,12,36.6,9.822153890454349
863,Sibley Minnesota,12,41.8,9.83355533131517
875,Stearns Minnesota,12,35.0,9.964681049200683
887,Steele Minnesota,12,39.7,9.790327157630495
899,Stevens Minnesota,12,33.0,10.090668026517083
911,Swift Minnesota,12,43.1,9.77823224692424
923,Todd Minnesota,12,43.7,9.720390042166722
935,Traverse Minnesota,12,47.0,9.839521325559987
947,Wabasha Minnesota,12,45.7,9.812535256854858
959,Wadena Minnesota,12,41.2,9.6744043268528
971,Waseca Minnesota,12,40.1,9.871378680421234
983,Washington Minnesota,12,39.6,9.832623075750648
995,Watonwan Minnesota,12,40.8,9.77212076718363
1007,Wilkin Minnesota,12,43.1,9.818446914773643
1019,Winona Minnesota,12,36.1,10.22419182315189
1031,Wright Minnesota,12,37.2,9.720193384738794
1043,Yellow Medicine Minnesota,12,42.4,9.800020599443814
11,Adams Mississippi,12,42.1,9.992118724139054
23,Alcorn Mississippi,12,40.8,9.886039022542148
35,Amite Mississippi,12,47.6,9.852451817516467
47,Attala Mississippi,12,39.8,9.752602619126224
59,Benton Mississippi,12,42.8,9.909286838600314
71,Bolivar Mississippi,12,36.4,9.84988899046624
83,Calhoun Mississippi,12,42.1,9.822303460761786
95,Carroll Mississippi,12,46.9,9.964099728561374
107,Chickasaw Mississippi,12,37.9,9.80774717885751
119,Choctaw Mississippi,12,43.9,9.863812423873325
131,Claiborne Mississippi,12,31.9,10.116588785046728
143,Clarke Mississippi,12,42.6,9.856675889582394
155,Clay Mississippi,12,40.1,9.900916338786498
167,Coahoma Mississippi,12,35.6,9.728060025311878
179,Copiah Mississippi,12,39.8,9.88882237662569
191,Covington Mississippi,12,38.6,9.817482292337411
203,DeSoto Mississippi,12,37.1,9.858515234258833
215,Forrest Mississippi,12,33.2,10.009388894081205
227,Franklin Mississippi,12,43.1,9.829002981978478
239,George Mississippi,12,36.0,9.759183673469387
251,Greene Mississippi,12,38.6,10.145193581628147
263,Grenada Mississippi,12,39.8,9.829935446574813
275,Hancock Mississippi,12,44.8,9.939301310043668
287,Harrison Mississippi,12,37.1,9.896420126874279
299,Hinds Mississippi,12,35.8,9.925861801242235
311,Holmes Mississippi,12,35.5,9.83994708994709
323,Humphreys Mississippi,12,38.4,9.729216269841269
335,Issaquena Mississippi,12,40.2,10.589449886963076
347,Itawamba Mississippi,12,39.7,9.95295852928602
359,Jackson Mississippi,12,39.5,9.89219590995495
371,Jasper Mississippi,12,42.1,9.846432277360678
383,Jefferson Mississippi,12,39.6,9.91725321888412
395,Jefferson Davis Mississippi,12,44.6,9.924388928828181
407,Jones Mississippi,12,38.1,9.794297923580721
419,Kemper Mississippi,12,41.2,10.104208581400123
431,Lafayette Mississippi,12,32.0,10.30774357170625
443,Lamar Mississippi,12,36.9,9.884610769935115
455,Lauderdale Mississippi,12,38.9,9.872983473861721
467,Lawrence Mississippi,12,40.1,9.76848085174003
479,Leake Mississippi,12,38.0,9.831212147810058
491,Lee Mississippi,12,37.7,9.827656959595487
503,Leflore Mississippi,12,34.1,9.738924174147535
515,Lincoln Mississippi,12,40.0,9.85881181740989
527,Lowndes Mississippi,12,37.2,9.888236197627783
539,Madison Mississippi,12,37.8,9.85943428184282
551,Marion Mississippi,12,40.6,9.870776868921174
563,Marshall Mississippi,12,41.5,9.958279027596758
575,Monroe Mississippi,12,41.7,9.85588619085442
587,Montgomery Mississippi,12,43.6,9.811109974424554
599,Neshoba Mississippi,12,36.2,9.701222611443095
611,Newton Mississippi,12,38.1,9.797511656675232
623,Noxubee Mississippi,12,37.6,9.81871940097917
635,Oktibbeha Mississippi,12,26.3,10.450285357049227
647,Panola Mississippi,12,38.1,9.822476017781936
659,Pearl River Mississippi,12,40.9,9.870188169622761
671,Perry Mississippi,12,41.3,9.884682201620313
683,Pike Mississippi,12,37.7,9.773256465078395
695,Pontotoc Mississippi,12,36.9,9.76623671287375
707,Prentiss Mississippi,12,39.4,9.902706359945872
719,Quitman Mississippi,12,41.0,9.874411071849234
731,Rankin Mississippi,12,38.7,9.947283781259861
743,Scott Mississippi,12,36.9,9.721835443037975
755,Sharkey Mississippi,12,41.7,9.735177042351307
767,Simpson Mississippi,12,40.3,9.853188536274288
779,Smith Mississippi,12,42.1,9.834261120884644
791,Stone Mississippi,12,39.2,9.964506980802794
803,Sunflower Mississippi,12,36.3,10.051704500199124
815,Tallahatchie Mississippi,12,37.0,10.135346513143602
827,Tate Mississippi,12,38.5,9.927774442992833
839,Tippah Mississippi,12,38.9,9.842602770838065
851,Tishomingo Mississippi,12,43.2,9.883774441520922
863,Tunica Mississippi,12,34.0,9.69767441860465
875,Union Mississippi,12,38.4,9.80449071664064
887,Walthall Mississippi,12,41.5,9.869487610247795
899,Warren Mississippi,12,39.8,9.851783786166017
911,Washington Mississippi,12,38.1,9.756908606436038
923,Wayne Mississippi,12,39.1,9.810389932121092
935,Webster Mississippi,12,40.5,9.827691196201878
947,Wilkinson Mississippi,12,38.9,10.017485515643104
959,Winston Mississippi,12,41.9,9.85986633249791
971,Yalobusha Mississippi,12,43.3,9.842690782953419
983,Yazoo Mississippi,12,36.2,10.165584371842371
11,Adair Missouri,12,28.2,10.335642978337214
23,Andrew Missouri,12,41.8,9.839080849141824
35,Atchison Missouri,12,47.7,9.863834337935057
47,Audrain Missouri,12,39.9,9.922400346620451
59,Barry Missouri,12,43.3,9.805786694235659
71,Barton Missouri,12,42.5,9.811681129828143
83,Bates Missouri,12,41.7,9.832160524363097
95,Benton Missouri,12,54.4,9.852821066707813
107,Bollinger Missouri,12,44.8,9.857809280474738
119,Boone Missouri,12,31.9,10.209261178191651
131,Buchanan Missouri,12,38.4,9.941147383361567
143,Butler Missouri,12,40.4,9.840397382174302
155,Caldwell Missouri,12,42.2,9.812882483370288
167,Callaway Missouri,12,39.3,10.010086493976711
179,Camden Missouri,12,52.8,9.900287226001511
191,Cape Girardeau Missouri,12,36.7,10.027116430627226
203,Carroll Missouri,12,43.3,9.833771171793986
215,Carter Missouri,12,43.4,9.786927449013708
227,Cass Missouri,12,40.2,9.830574777840802
239,Cedar Missouri,12,44.3,9.712335354380095
251,Chariton Missouri,12,45.4,9.759143549690277
263,Christian Missouri,12,38.5,9.813539138777584
275,Clark Missouri,12,44.1,9.803163160217744
287,Clay Missouri,12,37.4,9.909786835661818
299,Clinton Missouri,12,41.7,9.836940206994655
311,Cole Missouri,12,39.4,9.940522509609746
323,Cooper Missouri,12,39.2,9.972737026370773
335,Crawford Missouri,12,42.6,9.83472408026756
347,Dade Missouri,12,46.7,9.855138209231583
359,Dallas Missouri,12,43.0,9.752518070861477
371,Daviess Missouri,12,41.4,9.723532254167672
383,DeKalb Missouri,12,40.6,10.20392125607715
395,Dent Missouri,12,44.6,9.808681692673217
407,Douglas Missouri,12,47.2,9.760728100113765
419,Dunklin Missouri,12,39.9,9.726198894648313
431,Franklin Missouri,12,41.4,9.850869987592217
443,Gasconade Missouri,12,46.2,9.869182646538828
455,Gentry Missouri,12,40.1,9.722736265408614
467,Greene Missouri,12,36.3,10.075146202821013
479,Grundy Missouri,12,41.3,9.75018274111675
491,Harrison Missouri,12,43.1,9.729777298850575
503,Henry Missouri,12,44.2,9.836519428152494
515,Hickory Missouri,12,55.6,9.853478625314334
527,Holt Missouri,12,48.7,9.827549398137633
539,Howard Missouri,12,39.5,9.918958104189581
551,Howell Missouri,12,40.9,9.797564623476333
563,Iron Missouri,12,45.2,9.886735802469136
587,Jasper Missouri,12,36.6,9.865147369115126
599,Jefferson Missouri,12,40.0,9.886974022685166
611,Johnson Missouri,12,30.5,10.146581702489733
623,Knox Missouri,12,44.3,9.760116190957314
635,Laclede Missouri,12,39.8,9.76860286090194
647,Lafayette Missouri,12,41.6,9.831772043536748
659,Lawrence Missouri,12,39.8,9.754133750488855
671,Lewis Missouri,12,39.3,9.923823649754501
683,Lincoln Missouri,12,37.2,9.812366766644637
695,Linn Missouri,12,42.4,9.798355704697986
707,Livingston Missouri,12,40.5,9.973369672292637
719,McDonald Missouri,12,39.0,9.76279721504576
731,Macon Missouri,12,44.0,9.786200965800093
743,Madison Missouri,12,42.2,9.813716082064857
755,Maries Missouri,12,45.9,9.901793721973094
767,Marion Missouri,12,39.4,9.866996144409395
779,Mercer Missouri,12,43.7,9.742797898811169
791,Miller Missouri,12,41.3,9.80745930754518
803,Mississippi Missouri,12,40.4,9.99350531107739
815,Moniteau Missouri,12,38.3,9.866991073642449
827,Monroe Missouri,12,46.7,9.80919713095789
839,Montgomery Missouri,12,44.3,9.836403774564973
851,Morgan Missouri,12,45.4,9.733717942502546
863,New Madrid Missouri,12,42.3,9.796925509486998
875,Newton Missouri,12,40.4,9.825097877601484
887,Nodaway Missouri,12,29.9,10.461067354698534
899,Oregon Missouri,12,46.2,9.76580871877671
911,Osage Missouri,12,41.2,9.864061696658098
923,Ozark Missouri,12,52.3,9.814508393285372
935,Pemiscot Missouri,12,39.1,9.750148687124328
947,Perry Missouri,12,41.7,9.843420777591973
959,Pettis Missouri,12,38.1,9.81643638253147
971,Phelps Missouri,12,35.9,10.063444237542909
983,Pike Missouri,12,39.9,9.941749535569883
995,Platte Missouri,12,38.5,9.90988622651267
1007,Polk Missouri,12,38.0,9.922672555911538
1019,Pulaski Missouri,12,28.3,10.2827437413272
1031,Putnam Missouri,12,45.7,9.772508517887564
1043,Ralls Missouri,12,45.7,9.845930740129983
1055,Randolph Missouri,12,39.2,9.973622110877647
1067,Ray Missouri,12,42.5,9.846576592232166
1079,Reynolds Missouri,12,47.1,9.883429027113237
1091,Ripley Missouri,12,43.3,9.805636664659843
1103,St. Charles Missouri,12,39.1,9.912888100651209
1115,St. Clair Missouri,12,49.6,9.837565180376716
1127,Ste. Genevieve Missouri,12,43.8,9.852676874930143
1139,St. Francois Missouri,12,39.4,10.012756081231869
1151,St. Louis Missouri,12,40.3,9.920439245427252
1163,Saline Missouri,12,39.1,9.930455603883837
1175,Schuyler Missouri,12,39.4,9.697296137339055
1187,Scotland Missouri,12,36.6,9.597837617299062
1199,Scott Missouri,12,39.8,9.809451410658307
1211,Shannon Missouri,12,46.5,9.807800636786677
1223,Shelby Missouri,12,41.9,9.752428330522767
1235,Stoddard Missouri,12,42.2,9.88920585701981
1247,Stone Missouri,12,54.6,9.909758387581372
1259,Sullivan Missouri,12,43.6,9.820594514698637
1271,Taney Missouri,12,42.6,9.923090401945357
1283,Texas Missouri,12,43.2,9.891534766517049
1295,Vernon Missouri,12,40.9,9.814662257452706
1307,Warren Missouri,12,40.8,9.811069034194507
1319,Washington Missouri,12,41.7,9.863311767084513
1331,Wayne Missouri,12,48.3,9.8305212460188
1343,Webster Missouri,12,37.4,9.719473631036573
1355,Worth Missouri,12,49.4,9.905315449577746
1367,Wright Missouri,12,40.5,9.703783695117284
11,Beaverhead Montana,12,41.9,10.150417856765047
23,Big Horn Montana,12,31.6,9.466446429912155
35,Blaine Montana,12,34.4,9.62586439155815
47,Broadwater Montana,12,48.2,9.881385281385281
59,Carbon Montana,12,51.3,9.952755244755245
83,Cascade Montana,12,38.4,9.912671140279723
95,Chouteau Montana,12,42.2,9.881135758651286
107,Custer Montana,12,42.4,9.950570075425363
119,Daniels Montana,12,49.3,9.835088757396449
131,Dawson Montana,12,41.5,9.92935098107512
143,Deer Lodge Montana,12,49.0,10.198796498905908
155,Fallon Montana,12,38.6,9.67413914265636
167,Fergus Montana,12,46.1,9.864081447963802
179,Flathead Montana,12,42.4,9.884287998766931
191,Gallatin Montana,12,33.7,10.233843962458709
203,Garfield Montana,12,43.5,9.80564387917329
215,Glacier Montana,12,32.1,9.580171598923872
227,Golden Valley Montana,12,49.4,9.840925700365407
239,Granite Montana,12,55.7,10.002870671796389
251,Hill Montana,12,34.2,9.710155302111138
263,Jefferson Montana,12,47.6,9.853825382538254
275,Judith Basin Montana,12,51.2,9.854110612855008
287,Lake Montana,12,43.0,9.779204149977017
299,Lewis and Clark Montana,12,41.4,9.918443945154973
311,Liberty Montana,12,42.7,9.948951647411212
323,Lincoln Montana,12,53.2,9.865725725725726
335,McCone Montana,12,48.1,9.826983173076924
347,Madison Montana,12,52.4,10.030511627906977
359,Meagher Montana,12,53.1,9.878141783029001
371,Mineral Montana,12,52.9,9.866022287923585
383,Missoula Montana,12,36.4,10.211709030100334
395,Musselshell Montana,12,51.1,9.875048564644938
407,Park Montana,12,47.5,10.014181621100807
431,Phillips Montana,12,44.8,9.712392513909965
443,Pondera Montana,12,41.3,9.742395533750635
455,Powder River Montana,12,52.6,9.964684898929844
467,Powell Montana,12,45.7,10.19966618287373
479,Prairie Montana,12,53.9,9.856917363045497
491,Ravalli Montana,12,49.4,9.900684837693467
503,Richland Montana,12,38.2,9.801925391095066
515,Roosevelt Montana,12,30.9,9.484451108687749
527,Rosebud Montana,12,36.1,9.610842564619
539,Sanders Montana,12,55.3,9.85315776438537
551,Sheridan Montana,12,46.0,9.838621940163192
563,Silver Bow Montana,12,40.2,9.99444937705857
575,Stillwater Montana,12,47.4,9.832337689276082
587,Sweet Grass Montana,12,48.7,9.840165908482739
599,Teton Montana,12,43.4,9.708703432568733
611,Toole Montana,12,41.9,9.940857263513514
623,Treasure Montana,12,52.0,9.813218390804598
635,Valley Montana,12,44.2,9.799648458626285
647,Wheatland Montana,12,46.6,9.8206020696143
659,Wibaux Montana,12,49.1,9.875232198142415
11,Adams Nebraska,12,38.4,9.876236329432771
23,Antelope Nebraska,12,44.3,9.731708478882185
35,Arthur Nebraska,12,39.9,9.900431965442763
47,Banner Nebraska,12,42.0,9.736912751677853
71,Boone Nebraska,12,44.9,9.744780431432973
83,Box Butte Nebraska,12,40.1,9.741454140777149
95,Boyd Nebraska,12,52.9,9.906670140698282
107,Brown Nebraska,12,47.9,9.824670050761421
119,Buffalo Nebraska,12,34.0,10.004631587426246
131,Burt Nebraska,12,45.6,9.77420653351912
143,Butler Nebraska,12,43.0,9.81000499001996
155,Cass Nebraska,12,42.2,9.807002438281012
167,Cedar Nebraska,12,43.2,9.670221375862889
179,Chase Nebraska,12,42.1,9.732441386340469
191,Cherry Nebraska,12,43.0,9.77201617155915
203,Cheyenne Nebraska,12,42.2,9.83324354657688
215,Clay Nebraska,12,41.5,9.726825729485732
227,Colfax Nebraska,12,35.1,9.663936875525259
239,Cuming Nebraska,12,42.2,9.746800813927198
251,Custer Nebraska,12,43.1,9.74270205066345
263,Dakota Nebraska,12,33.6,9.670508339159094
275,Dawes Nebraska,12,35.4,10.2509488881127
287,Dawson Nebraska,12,36.6,9.727849120576394
299,Deuel Nebraska,12,47.9,9.808193979933112
311,Dixon Nebraska,12,41.4,9.69151880766501
323,Dodge Nebraska,12,39.5,9.811828251059756
347,Dundy Nebraska,12,48.8,9.94849379799173
359,Fillmore Nebraska,12,45.8,9.948700109849872
371,Franklin Nebraska,12,50.0,9.830815709969789
383,Frontier Nebraska,12,45.2,9.959345260753711
395,Furnas Nebraska,12,46.2,9.800299401197604
407,Gage Nebraska,12,43.4,9.80027890112955
419,Garden Nebraska,12,51.7,9.844148067501362
431,Garfield Nebraska,12,51.6,9.936820721178263
443,Gosper Nebraska,12,47.4,9.84492462311558
467,Greeley Nebraska,12,44.5,9.76676570458404
479,Hall Nebraska,12,36.0,9.720926442064773
491,Hamilton Nebraska,12,41.5,9.782872157872157
503,Harlan Nebraska,12,49.5,9.777366863905325
527,Hitchcock Nebraska,12,46.4,9.767704561911659
539,Holt Nebraska,12,42.6,9.660733088308335
551,Hooker Nebraska,12,47.7,9.873460410557184
563,Howard Nebraska,12,43.1,9.740744763382466
575,Jefferson Nebraska,12,46.1,9.819486233323872
587,Johnson Nebraska,12,41.7,10.065016761979885
599,Kearney Nebraska,12,40.9,9.753795227097768
611,Keith Nebraska,12,49.0,9.812173263629575
623,Keya Paha Nebraska,12,55.6,9.915136476426799
635,Kimball Nebraska,12,47.2,9.819162995594713
647,Knox Nebraska,12,45.4,9.681397023523763
659,Lancaster Nebraska,12,34.0,10.044658246889592
671,Lincoln Nebraska,12,41.1,9.822624162227186
683,Logan Nebraska,12,43.0,9.824866310160427
